uniprot_acc	is_control_genes
P35573	FALSE
P35579	FALSE
P35580	FALSE
P35611	FALSE
P35613	FALSE
P35637	FALSE
P35659	FALSE
P35754	FALSE
P35858	FALSE
P35900	FALSE
P35908	FALSE
P36222	FALSE
P36542	FALSE
P36578	FALSE
P36871	FALSE
P36952	FALSE
P36955	FALSE
P36959	FALSE
P36969	FALSE
P36980	FALSE
P37235	FALSE
P37802	FALSE
P37837	FALSE
P37840	FALSE
P38159	FALSE
P38606	FALSE
P38646	FALSE
P39019	FALSE
P39023	FALSE
P39059	FALSE
P39060	FALSE
P39687	FALSE
P40121	FALSE
P40227	FALSE
P40763	FALSE
P40925	FALSE
P40926	FALSE
P40939	FALSE
P41226	FALSE
P41240	FALSE
P41250	FALSE
P41439	FALSE
P42126	FALSE
P42166	FALSE
P42330	FALSE
P42574	FALSE
P42677	FALSE
P42680	FALSE
P42765	FALSE
P42785	FALSE
P43121	FALSE
P43243	FALSE
P43251	FALSE
P43487	FALSE
P43490	FALSE
P43652	FALSE
P45974	FALSE
P46060	FALSE
P46109	FALSE
P46777	FALSE
P46781	FALSE
P46782	FALSE
P46783	FALSE
P46821	FALSE
P46926	FALSE
P46939	FALSE
P47756	FALSE
P47897	FALSE
P47929	FALSE
P48047	FALSE
P48059	FALSE
P48147	FALSE
P48163	FALSE
P48426	FALSE
P48444	FALSE
P48506	FALSE
P48637	FALSE
P48668	FALSE
P48681	FALSE
P48740	FALSE
P49005	FALSE
P49189	FALSE
P49247	FALSE
P49321	FALSE
P49327	FALSE
P49368	FALSE
P49454	FALSE
P49588	FALSE
P49591	FALSE
P49593	FALSE
P49643	FALSE
P49720	FALSE
P49721	FALSE
P49736	FALSE
P49747	FALSE
P49756	FALSE
P49773	FALSE
P49908	FALSE
P49913	FALSE
P50135	FALSE
P50213	FALSE
P50238	FALSE
P50281	FALSE
P50395	FALSE
P50440	FALSE
P50452	FALSE
P50454	FALSE
P50552	FALSE
P50570	FALSE
P50750	FALSE
P50895	FALSE
P50914	FALSE
P50990	FALSE
P50991	FALSE
P51149	FALSE
P51452	FALSE
P51570	FALSE
P51610	FALSE
P51858	FALSE
P51884	FALSE
P51888	FALSE
P51991	FALSE
P52209	FALSE
P52272	FALSE
P52565	FALSE
P52566	FALSE
P52701	FALSE
P52758	FALSE
P52790	FALSE
P52799	FALSE
P52888	FALSE
P52907	FALSE
P52948	FALSE
P53396	FALSE
P53597	FALSE
P53602	FALSE
P53634	FALSE
P53667	FALSE
P53674	FALSE
P54108	FALSE
P54136	FALSE
P54289	FALSE
P54577	FALSE
P54578	FALSE
P54727	FALSE
P54760	FALSE
P54802	FALSE
P54819	FALSE
P54886	FALSE
P55056	FALSE
P55058	FALSE
P55072	FALSE
P55083	FALSE
P55145	FALSE
P55209	FALSE
P55259	FALSE
P55268	FALSE
P55285	FALSE
P55290	FALSE
P55786	FALSE
P55957	FALSE
P56192	FALSE
P56537	FALSE
P58107	FALSE
P59095	FALSE
P59665	FALSE
P59666	FALSE
P60174	FALSE
P60520	FALSE
P60660	FALSE
P60842	FALSE
P60900	FALSE
P60903	FALSE
P60981	FALSE
P60983	FALSE
P61088	FALSE
P61106	FALSE
P61158	FALSE
P61160	FALSE
P61247	FALSE
P61313	FALSE
P61604	FALSE
P61626	FALSE
P61764	FALSE
P61769	FALSE
P61916	FALSE
P61970	FALSE
P61978	FALSE
P61981	FALSE
P62081	FALSE
P62158	FALSE
P62241	FALSE
P62249	FALSE
P62258	FALSE
P62263	FALSE
P62266	FALSE
P62269	FALSE
P62277	FALSE
P62280	FALSE
P62328	FALSE
P62424	FALSE
P62633	FALSE
P62701	FALSE
P62750	FALSE
P62805	FALSE
P62820	FALSE
P62826	FALSE
P62834	FALSE
P62847	FALSE
P62851	FALSE
P62857	FALSE
P62873	FALSE
P62888	FALSE
P62899	FALSE
P62906	FALSE
P62910	FALSE
P62913	FALSE
P62937	FALSE
P62942	FALSE
P62993	FALSE
P63104	FALSE
P63241	FALSE
P63244	FALSE
P63261	FALSE
P63279	FALSE
P63316	FALSE
P67809	FALSE
P67936	FALSE
P68036	FALSE
P68133	FALSE
P68366	FALSE
P68871	FALSE
P69891	FALSE
P69892	FALSE
P69905	FALSE
P78347	FALSE
P78371	FALSE
P78417	FALSE
P78527	FALSE
P80108	FALSE
P80188	FALSE
P80303	FALSE
P80362	FALSE
P80404	FALSE
P80419	FALSE
P80723	FALSE
P80748	FALSE
P81605	FALSE
P82979	FALSE
P83593	FALSE
P83731	FALSE
P84095	FALSE
P84098	FALSE
P98082	FALSE
P98095	FALSE
P98160	FALSE
P99999	FALSE
Q00610	FALSE
Q00688	FALSE
Q00796	FALSE
Q00839	FALSE
Q01082	FALSE
Q01130	FALSE
Q01459	FALSE
Q01469	FALSE
Q01518	FALSE
Q01581	FALSE
Q01995	FALSE
Q02325	FALSE
Q02413	FALSE
Q02487	FALSE
Q02747	FALSE
Q02790	FALSE
Q02809	FALSE
Q02818	FALSE
Q02880	FALSE
Q02952	FALSE
Q02985	FALSE
Q03154	FALSE
Q03252	FALSE
Q03403	FALSE
Q03591	FALSE
Q04446	FALSE
Q04695	FALSE
Q04721	FALSE
Q04756	FALSE
Q04760	FALSE
Q04917	FALSE
Q05397	FALSE
Q05682	FALSE
Q05707	FALSE
Q06033	FALSE
Q06141	FALSE
Q06187	FALSE
Q06278	FALSE
Q06323	FALSE
Q06481	FALSE
Q06830	FALSE
Q07075	FALSE
Q07820	FALSE
Q07912	FALSE
Q07954	FALSE
Q07960	FALSE
Q08188	FALSE
Q08209	FALSE
Q08257	FALSE
Q08380	FALSE
Q08495	FALSE
Q08554	FALSE
Q08830	FALSE
Q09666	FALSE
Q10471	FALSE
Q10472	FALSE
Q10567	FALSE
Q10588	FALSE
Q12805	FALSE
Q12841	FALSE
Q12860	FALSE
Q12884	FALSE
Q12906	FALSE
Q12907	FALSE
Q12913	FALSE
Q12931	FALSE
Q13045	FALSE
Q13093	FALSE
Q13103	FALSE
Q13148	FALSE
Q13177	FALSE
Q13185	FALSE
Q13200	FALSE
Q13228	FALSE
Q13231	FALSE
Q13232	FALSE
Q13263	FALSE
Q13283	FALSE
Q13308	FALSE
Q13332	FALSE
Q13347	FALSE
Q13418	FALSE
Q13442	FALSE
Q13443	FALSE
Q13449	FALSE
Q13451	FALSE
Q13509	FALSE
Q13554	FALSE
Q13557	FALSE
Q13564	FALSE
Q13576	FALSE
Q13601	FALSE
Q13613	FALSE
Q13630	FALSE
Q13642	FALSE
Q13740	FALSE
Q13765	FALSE
Q13790	FALSE
Q13822	FALSE
Q13825	FALSE
Q13867	FALSE
Q13884	FALSE
Q14002	FALSE
Q14012	FALSE
Q14019	FALSE
Q14103	FALSE
Q14112	FALSE
Q14116	FALSE
Q14118	FALSE
Q14126	FALSE
Q14141	FALSE
Q14146	FALSE
Q14203	FALSE
Q14204	FALSE
Q14240	FALSE
Q14247	FALSE
Q14258	FALSE
Q14289	FALSE
Q14314	FALSE
Q14315	FALSE
Q14344	FALSE
Q14353	FALSE
Q14376	FALSE
Q14508	FALSE
Q14515	FALSE
Q14520	FALSE
Q14525	FALSE
Q14533	FALSE
Q14624	FALSE
Q14690	FALSE
Q14697	FALSE
Q14789	FALSE
Q14847	FALSE
Q14914	FALSE
Q14956	FALSE
Q14974	FALSE
Q15019	FALSE
Q15029	FALSE
Q15056	FALSE
Q15063	FALSE
Q15075	FALSE
Q15080	FALSE
Q15084	FALSE
Q15102	FALSE
Q15113	FALSE
Q15121	FALSE
Q15149	FALSE
Q15166	FALSE
Q15185	FALSE
Q15195	FALSE
Q15257	FALSE
Q15262	FALSE
Q15274	FALSE
Q15363	FALSE
Q15365	FALSE
Q15366	FALSE
Q15369	FALSE
Q15370	FALSE
Q15404	FALSE
Q15428	FALSE
Q15485	FALSE
Q15555	FALSE
Q15582	FALSE
Q15631	FALSE
Q15691	FALSE
Q15746	FALSE
Q15819	FALSE
Q15833	FALSE
Q15843	FALSE
Q15847	FALSE
Q15848	FALSE
Q15904	FALSE
Q15942	FALSE
Q16181	FALSE
Q16270	FALSE
Q16363	FALSE
Q16401	FALSE
Q16473	FALSE
Q16531	FALSE
Q16555	FALSE
Q16594	FALSE
Q16609	FALSE
Q16610	FALSE
Q16643	FALSE
Q16658	FALSE
Q16706	FALSE
Q16719	FALSE
Q16775	FALSE
Q16819	FALSE
Q16822	FALSE
Q16851	FALSE
Q16853	FALSE
Q16877	FALSE
Q1KMD3	FALSE
Q27J81	FALSE
Q29865	FALSE
Q2TV78	FALSE
Q32MZ4	FALSE
Q3LXA3	FALSE
Q3ZCM7	FALSE
Q4KWH8	FALSE
Q4VC31	FALSE
Q53FA7	FALSE
Q53GG5	FALSE
Q562R1	FALSE
Q569H4	FALSE
Q58EX2	FALSE
Q59EK9	FALSE
Q5D862	FALSE
Q5HYJ3	FALSE
Q5JRA6	FALSE
Q5JSH3	FALSE
Q5QJE6	FALSE
Q5SSJ5	FALSE
Q5SYB0	FALSE
Q5TCH4	FALSE
Q5TFE4	FALSE
Q5TH69	FALSE
Q5VTE0	FALSE
Q5XKE5	FALSE
Q5ZPR3	FALSE
Q66K66	FALSE
Q6EMK4	FALSE
Q6GTX8	FALSE
Q6IBS0	FALSE
Q6IQ49	FALSE
Q6NZI2	FALSE
Q6P179	FALSE
Q6P9B6	FALSE
Q6PI48	FALSE
Q6PKG0	FALSE
Q6S8J3	FALSE
Q6UX04	FALSE
Q6UX71	FALSE
Q6UXB8	FALSE
Q6UXD5	FALSE
Q6VY07	FALSE
Q6XQN6	FALSE
Q6YHK3	FALSE
Q6YN16	FALSE
Q6ZVX7	FALSE
Q70J99	FALSE
Q71F56	FALSE
Q7KZ85	FALSE
Q7KZF4	FALSE
Q7L1Q6	FALSE
Q7L8L6	FALSE
Q7LDG7	FALSE
Q7RTR2	FALSE
Q7Z3U7	FALSE
Q7Z3Y7	FALSE
Q7Z3Z3	FALSE
Q7Z4Q2	FALSE
Q7Z4W1	FALSE
Q7Z7E8	FALSE
Q7Z7G0	FALSE
Q86SQ4	FALSE
Q86U17	FALSE
Q86UX7	FALSE
Q86V48	FALSE
Q86V81	FALSE
Q86VB7	FALSE
Q86VI3	FALSE
Q86VM9	FALSE
Q86VP6	FALSE
Q86WR0	FALSE
Q86YZ3	FALSE
Q8IUC8	FALSE
Q8IUI8	FALSE
Q8IUX7	FALSE
Q8IVL1	FALSE
Q8IX94	FALSE
Q8IZ83	FALSE
Q8IZA0	FALSE
Q8N0V3	FALSE
Q8N163	FALSE
Q8N1N4	FALSE
Q8N2S1	FALSE
Q8N392	FALSE
Q8N5P1	FALSE
Q8N612	FALSE
Q8N6Q3	FALSE
Q8N8A6	FALSE
Q8N9B8	FALSE
Q8NBJ4	FALSE
Q8NBP7	FALSE
Q8NBS9	FALSE
Q8NC51	FALSE
Q8NCW5	FALSE
Q8NDV3	FALSE
Q8NE71	FALSE
Q8NGI1	FALSE
Q8NHP8	FALSE
Q8NI22	FALSE
Q8TD43	FALSE
Q8WU39	FALSE
Q8WVV4	FALSE
Q8WWZ8	FALSE
Q8WX92	FALSE
Q8WXH0	FALSE
Q8WXI7	FALSE
Q8WXI9	FALSE
Q92496	FALSE
Q92520	FALSE
Q92619	FALSE
Q92626	FALSE
Q92673	FALSE
Q92686	FALSE
Q92688	FALSE
Q92692	FALSE
Q92743	FALSE
Q92797	FALSE
Q92820	FALSE
Q92823	FALSE
Q92835	FALSE
Q92841	FALSE
Q92854	FALSE
Q92859	FALSE
Q92887	FALSE
Q92945	FALSE
Q92954	FALSE
Q93063	FALSE
Q93088	FALSE
Q93091	FALSE
Q93099	FALSE
Q969E8	FALSE
Q969H8	FALSE
Q969U6	FALSE
Q96A00	FALSE
Q96AB3	FALSE
Q96BZ4	FALSE
Q96C90	FALSE
Q96CP6	FALSE
Q96D15	FALSE
Q96DA0	FALSE
Q96EY7	FALSE
Q96FV2	FALSE
Q96FW1	FALSE
Q96G03	FALSE
Q96HC4	FALSE
Q96HR3	FALSE
Q96IY4	FALSE
Q96JB5	FALSE
Q96JQ2	FALSE
Q96KN2	FALSE
Q96KP4	FALSE
Q96PC5	FALSE
Q96PD5	FALSE
Q96PK6	FALSE
Q96Q06	FALSE
Q96QR1	FALSE
Q96RQ1	FALSE
Q96RY7	FALSE
Q96T51	FALSE
Q99250	FALSE
Q99439	FALSE
Q99459	FALSE
Q99460	FALSE
Q99497	FALSE
Q99627	FALSE
Q99674	FALSE
Q99683	FALSE
Q99714	FALSE
Q99729	FALSE
Q99733	FALSE
Q99784	FALSE
Q99829	FALSE
Q99832	FALSE
Q99969	FALSE
Q9BQ52	FALSE
Q9BQE3	FALSE
Q9BQE5	FALSE
Q9BR76	FALSE
Q9BRA2	FALSE
Q9BRF8	FALSE
Q9BRK5	FALSE
Q9BRP8	FALSE
Q9BRX5	FALSE
Q9BRX8	FALSE
Q9BS26	FALSE
Q9BTY2	FALSE
Q9BV36	FALSE
Q9BVG4	FALSE
Q9BW30	FALSE
Q9BWD1	FALSE
Q9BWP8	FALSE
Q9BXK5	FALSE
Q9BXN1	FALSE
Q9BXR6	FALSE
Q9BXS5	FALSE
Q9BXX0	FALSE
Q9BY67	FALSE
Q9BYE9	FALSE
Q9BYK8	FALSE
Q9BYX7	FALSE
Q9GZT8	FALSE
Q9GZZ9	FALSE
Q9H0E2	FALSE
Q9H0P0	FALSE
Q9H0W9	FALSE
Q9H160	FALSE
Q9H1U4	FALSE
Q9H299	FALSE
Q9H3H9	FALSE
Q9H3K6	FALSE
Q9H3U1	FALSE
Q9H479	FALSE
Q9H4A4	FALSE
Q9H4B7	FALSE
Q9H4B8	FALSE
Q9H4M9	FALSE
Q9H6X2	FALSE
Q9H8L6	FALSE
Q9H910	FALSE
Q9HAB8	FALSE
Q9HAT2	FALSE
Q9HBB8	FALSE
Q9HBI1	FALSE
Q9HBR0	FALSE
Q9HC38	FALSE
Q9HC84	FALSE
Q9HCB6	FALSE
Q9HCU9	FALSE
Q9HCY8	FALSE
Q9HDC9	FALSE
Q9NNW7	FALSE
Q9NP79	FALSE
Q9NP97	FALSE
Q9NPD3	FALSE
Q9NPH3	FALSE
Q9NPY3	FALSE
Q9NQ79	FALSE
Q9NQC3	FALSE
Q9NQP4	FALSE
Q9NQR4	FALSE
Q9NR12	FALSE
Q9NS71	FALSE
Q9NSB2	FALSE
Q9NTJ3	FALSE
Q9NTK5	FALSE
Q9NTX5	FALSE
Q9NUQ6	FALSE
Q9NWV4	FALSE
Q9NX63	FALSE
Q9NXE4	FALSE
Q9NY33	FALSE
Q9NY97	FALSE
Q9NYL2	FALSE
Q9NYL9	FALSE
Q9NYU2	FALSE
Q9NZ08	FALSE
Q9NZD4	FALSE
Q9NZJ5	FALSE
Q9NZK5	FALSE
Q9NZN3	FALSE
Q9NZP8	FALSE
Q9P0L0	FALSE
Q9P0Z9	FALSE
Q9P1F3	FALSE
Q9P1Y5	FALSE
Q9P260	FALSE
Q9P2E9	FALSE
Q9P2T1	FALSE
Q9UBF2	FALSE
Q9UBG0	FALSE
Q9UBP6	FALSE
Q9UBP9	FALSE
Q9UBQ0	FALSE
Q9UBQ7	FALSE
Q9UBR1	FALSE
Q9UBR2	FALSE
Q9UBW5	FALSE
Q9UBX5	FALSE
Q9UDT6	FALSE
Q9UG56	FALSE
Q9UGM3	FALSE
Q9UGM5	FALSE
Q9UHA4	FALSE
Q9UHD1	FALSE
Q9UHG3	FALSE
Q9UI17	FALSE
Q9UI26	FALSE
Q9UIF8	FALSE
Q9UIJ7	FALSE
Q9UJC5	FALSE
Q9UJJ9	FALSE
Q9UJU6	FALSE
Q9UK55	FALSE
Q9UK76	FALSE
Q9UKV8	FALSE
Q9UKX7	FALSE
Q9UKY7	FALSE
Q9UL25	FALSE
Q9UL46	FALSE
Q9ULA0	FALSE
Q9ULV4	FALSE
Q9UM47	FALSE
Q9UMX5	FALSE
Q9UNF1	FALSE
Q9UNN8	FALSE
Q9UNW1	FALSE
Q9UNZ2	FALSE
Q9UPT8	FALSE
Q9UQ35	FALSE
Q9UQ80	FALSE
Q9UQM7	FALSE
Q9Y230	FALSE
Q9Y244	FALSE
Q9Y263	FALSE
Q9Y265	FALSE
Q9Y287	FALSE
Q9Y2B0	FALSE
Q9Y2E5	FALSE
Q9Y2G3	FALSE
Q9Y2M0	FALSE
Q9Y2S2	FALSE
Q9Y2S6	FALSE
Q9Y2T3	FALSE
Q9Y2X3	FALSE
Q9Y2Z0	FALSE
Q9Y3B2	FALSE
Q9Y3B4	FALSE
Q9Y3D6	FALSE
Q9Y3I0	FALSE
Q9Y446	FALSE
Q9Y490	FALSE
Q9Y4E8	FALSE
Q9Y4I1	FALSE
Q9Y4L1	FALSE
Q9Y4R8	FALSE
Q9Y536	FALSE
Q9Y5K5	FALSE
Q9Y5K8	FALSE
Q9Y5L4	FALSE
Q9Y5Q8	FALSE
Q9Y5Y7	FALSE
Q9Y608	FALSE
Q9Y617	FALSE
Q9Y624	FALSE
Q9Y696	FALSE
Q9Y6C2	FALSE
Q9Y6G9	FALSE
Q9Y6I3	FALSE
Q9Y6R7	FALSE
Q9Y6U3	FALSE
Q9Y6V0	FALSE
Q9Y6Z7	FALSE
